texto,dependencia
Soy pastor y nuestra iglesia necesita ayuda para reparaciones,Secretaría General de Gobierno (SGG)
Soy pastor y nuestra iglesia necesita apoyo para reparaciones,Secretaría General de Gobierno (SGG)
"Buen día, Soy pastor, nuestra iglesia necesita ayuda para reparaciones",Secretaría General de Gobierno (SGG)
"Hola, Soy pastor y nuestra iglesia necesita ayuda para reparaciones",Secretaría General de Gobierno (SGG)
Tenemos una asociación civil y buscamos apoyo del gobierno,Secretaría General de Gobierno (SGG)
"Hola, Tenemos una asociación civil y buscamos apoyo del gobierno. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Hola, buscamos apoyo del gobierno, Tenemos una asociación civil. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Buen día, Tenemos una asociación civil, buscamos apoyo del gobierno, gracias",Secretaría General de Gobierno (SGG)
Apoyos para agrupaciones religiosas,Secretaría General de Gobierno (SGG)
"Buen día, Apoyos para agrupaciones religiosas, gracias",Secretaría General de Gobierno (SGG)
"Buen día, Apoyos para agrupaciones religiosas. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Por favor, Apoyos para agrupaciones religiosas. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
Cómo registrar mi asociación para recibir recursos,Secretaría General de Gobierno (SGG)
"Buen día, Cómo registrar mi asociación para recibir recursos, gracias",Secretaría General de Gobierno (SGG)
Cómo registrar mi asociación para recibir recursos.,Secretaría General de Gobierno (SGG)
"Buen día, Cómo registrar mi asociación para recibir recursos.",Secretaría General de Gobierno (SGG)
Acabo de salir del penal y necesito trabajo o apoyo,Secretaría General de Gobierno (SGG)
"requiero trabajo o apoyo, Acabo de salir del penal",Secretaría General de Gobierno (SGG)
"Acabo de salir del penal, necesito trabajo o apoyo",Secretaría General de Gobierno (SGG)
"Hola, Acabo de salir del penal y me hace falta trabajo o apoyo",Secretaría General de Gobierno (SGG)
Mi esposo salió de la cárcel y no tenemos para comer,Secretaría General de Gobierno (SGG)
"Hola, no tenemos para comer, Mi esposo salió de la cárcel. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Hola, no tenemos para comer, Mi esposo salió de la cárcel, gracias",Secretaría General de Gobierno (SGG)
"Mi esposo salió de la cárcel, no tenemos para comer",Secretaría General de Gobierno (SGG)
Apoyo para personas liberadas,Secretaría General de Gobierno (SGG)
"Buen día, Apoyo para personas liberadas, gracias",Secretaría General de Gobierno (SGG)
"Apoyo para personas liberadas, gracias",Secretaría General de Gobierno (SGG)
"Hola, Apoyo para personas liberadas",Secretaría General de Gobierno (SGG)
Ayuda para ex presos para poner un negocio,Secretaría General de Gobierno (SGG)
"Por favor, Ayuda para ex presos para poner un negocio.",Secretaría General de Gobierno (SGG)
"Asistencia para ex presos para poner un negocio, gracias",Secretaría General de Gobierno (SGG)
"Por favor, Ayuda para ex presos para poner un negocio",Secretaría General de Gobierno (SGG)
El techo de la casa ejidal se está cayendo,Secretaría General de Gobierno (SGG)
"El techo de la casa ejidal se está cayendo, gracias",Secretaría General de Gobierno (SGG)
"Hola, El techo de la casa ejidal se está cayendo, gracias",Secretaría General de Gobierno (SGG)
El techo de la casa ejidal se está cayendo. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
Necesitamos sillas para las juntas del ejido,Secretaría General de Gobierno (SGG)
"Hola, Necesitamos sillas para las juntas del ejido. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Por favor, Necesitamos sillas para las juntas del ejido, gracias",Secretaría General de Gobierno (SGG)
"Necesitamos sillas para las juntas del ejido, gracias",Secretaría General de Gobierno (SGG)
Soy comisario y quiero solicitar apoyo para pintar la casa ejidal,Secretaría General de Gobierno (SGG)
"Soy comisario, quiero solicitar apoyo para pintar la casa ejidal",Secretaría General de Gobierno (SGG)
"Buen día, Soy comisario y deseo solicitar apoyo para pintar la casa ejidal.",Secretaría General de Gobierno (SGG)
"Buen día, quiero solicitar apoyo para pintar la casa ejidal, Soy comisario. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
Remodelación de espacios agrarios,Secretaría General de Gobierno (SGG)
Remodelación de espacios agrarios. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
"Hola, Remodelación de espacios agrarios",Secretaría General de Gobierno (SGG)
"Por favor, Remodelación de espacios agrarios, gracias",Secretaría General de Gobierno (SGG)
Quiero entrar a la banda de marcha del gobierno,Secretaría General de Gobierno (SGG)
Deseo entrar a la banda de marcha del gobierno.,Secretaría General de Gobierno (SGG)
Quiero entrar a la banda de marcha del gobierno. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
Busco entrar a la banda de marcha del gobierno,Secretaría General de Gobierno (SGG)
¿Dan beca por tocar en la banda Muuk Báalam?,Secretaría General de Gobierno (SGG)
"Hola, ¿Dan beca por tocar en la banda Muuk Báalam?.",Secretaría General de Gobierno (SGG)
"Por favor, ¿Dan beca por tocar en la banda Muuk Báalam?.",Secretaría General de Gobierno (SGG)
"Buen día, ¿Dan beca por tocar en la banda Muuk Báalam?",Secretaría General de Gobierno (SGG)
Inscripciones para la banda de música juvenil,Secretaría General de Gobierno (SGG)
